"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-5-19",2.98,"3.06","3.06","2.98","57.61M","-2.93%"
"2023-5-18","3.07","3.03","3.12","3.02","48.19M","1.32%"
"2023-5-17","3.03","3.04","3.06","3.01","42.64M","-0.33%"
"2023-5-16","3.04","3.15","3.16","3.03","56.42M","-3.18%"
"2023-5-15","3.14","3.11","3.15","3.03","58.99M","0.96%"
"2023-5-12","3.11","3.16","3.19","3.10","63.52M","-1.27%"
"2023-5-11","3.15","3.18","3.19","3.11","64.39M","-0.94%"
"2023-5-10","3.18","3.25","3.26","3.15","99.28M","-2.15%"
"2023-5-9","3.25","3.29","3.39","3.23","154.68M","-0.91%"
"2023-5-8","3.28","3.18","3.36","3.15","148.41M","4.13%"
"2023-5-5","3.15","3.15","3.19","3.08","68.15M","0.64%"
"2023-5-4","3.13","3.10","3.14","3.08","67.55M","0.97%"
"2023-4-28","3.10","3.00","3.11","2.99","66.05M","3.33%"
"2023-4-27","3.00","2.97","3.03","2.95","35.12M","1.01%"
"2023-4-26","2.97","2.97","2.99","2.93","31.15M","-0.34%"
"2023-4-25","2.98","3.01","3.05","2.93","45.25M","-0.67%"
"2023-4-24","3.00","3.03","3.05","2.97","36.60M","-0.66%"
"2023-4-21","3.02","3.09","3.14","3.01","57.92M","-2.27%"
"2023-4-20","3.09","3.02","3.09","3.01","47.09M","1.98%"
"2023-4-19","3.03","3.07","3.08","3.02","34.33M","-1.62%"
"2023-4-18","3.08","3.07","3.12","3.06","36.90M","0.00%"
"2023-4-17","3.08","3.04","3.11","3.02","48.15M","1.65%"
"2023-4-14","3.03","3.00","3.06","2.99","36.38M","1.00%"
"2023-4-13","3.00","2.98","3.01","2.96","23.72M","1.01%"
"2023-4-12","2.97","2.94","3.00","2.94","24.58M","0.68%"
"2023-4-11","2.95","2.96","2.98","2.93","28.78M","-0.67%"
"2023-4-10","2.97","2.99","3.02","2.97","29.51M","-1.00%"
"2023-4-7","3.00","3.04","3.05","2.97","36.28M","-1.32%"
"2023-4-6","3.04","3.02","3.10","2.98","63.35M","0.00%"
"2023-4-4","3.04","2.87","3.10","2.85","110.23M","6.29%"
"2023-4-3","2.86","2.84","2.88","2.83","31.85M","0.70%"
"2023-3-31","2.84","2.83","2.86","2.81","38.87M","0.71%"
"2023-3-30","2.82","2.89","2.90","2.81","61.31M","-2.42%"
"2023-3-29","2.89","2.97","2.97","2.89","40.03M","-2.36%"
"2023-3-28","2.96","3.00","3.02","2.96","29.74M","-1.00%"
"2023-3-27","2.99","3.02","3.03","2.96","37.92M","-0.99%"
"2023-3-24","3.02","3.06","3.07","3.01","51.85M","-1.95%"
"2023-3-23","3.08","3.05","3.08","3.03","35.08M","0.98%"
"2023-3-22","3.05","3.08","3.09","3.04","41.41M","-0.97%"
"2023-3-21","3.08","3.07","3.12","3.05","43.27M","0.00%"
"2023-3-20","3.08","3.14","3.23","3.07","92.24M","-1.60%"
"2023-3-17","3.13","3.10","3.19","3.07","86.95M","1.95%"
"2023-3-16","3.07","3.15","3.15","3.06","63.20M","-1.60%"
"2023-3-15","3.12","3.03","3.15","3.00","78.96M","2.97%"
"2023-3-14","3.03","3.01","3.08","2.99","37.11M","0.00%"
"2023-3-13","3.03","2.97","3.05","2.97","36.72M","1.68%"
"2023-3-10","2.98","3.03","3.04","2.98","27.55M","-2.30%"
"2023-3-9","3.05","3.10","3.10","3.02","27.41M","-0.97%"
"2023-3-8","3.08","3.10","3.10","3.05","39.36M","-0.96%"
"2023-3-7","3.11","3.14","3.23","3.10","63.23M","-0.96%"
"2023-3-6","3.14","3.15","3.18","3.11","53.74M","0.32%"
"2023-3-3","3.13","3.06","3.16","3.03","72.72M","2.62%"
"2023-3-2","3.05","3.02","3.11","3.00","57.14M","1.33%"
"2023-3-1","3.01","2.96","3.02","2.96","31.97M","1.35%"
"2023-2-28","2.97","2.96","2.99","2.94","22.68M","0.68%"
"2023-2-27","2.95","2.99","2.99","2.94","20.91M","-1.34%"
"2023-2-24","2.99","3.01","3.02","2.98","19.51M","-0.33%"
"2023-2-23","3.00","2.99","3.03","2.97","42.21M","0.67%"
"2023-2-22","2.98","2.99","2.99","2.96","15.38M","0.00%"
"2023-2-21","2.98","2.96","3.00","2.95","32.53M","0.68%"
"2023-2-20","2.96","2.90","2.96","2.89","25.84M","2.07%"
"2023-2-17","2.90","2.91","2.94","2.90","26.38M","-0.34%"
"2023-2-16","2.91","2.96","2.99","2.89","42.33M","-1.36%"
"2023-2-15","2.95","2.98","2.98","2.94","16.75M","-0.67%"
"2023-2-14","2.97","2.99","3.00","2.95","17.01M","-0.67%"
"2023-2-13","2.99","3.00","3.00","2.95","28.46M","0.34%"
"2023-2-10","2.98","2.98","3.01","2.95","26.70M","1.02%"
"2023-2-9","2.95","2.92","2.98","2.90","28.94M","1.03%"
"2023-2-8","2.92","2.97","2.97","2.92","17.94M","-1.35%"
"2023-2-7","2.96","2.96","2.97","2.92","24.40M","0.68%"
"2023-2-6","2.94","2.94","2.97","2.92","21.25M","0.34%"
"2023-2-3","2.93","2.98","2.98","2.92","27.65M","-1.35%"
"2023-2-2","2.97","3.02","3.03","2.96","24.05M","-1.33%"
"2023-2-1","3.01","2.98","3.02","2.97","24.38M","1.01%"
"2023-1-31","2.98","2.98","2.99","2.95","20.18M","0.00%"
"2023-1-30","2.98","2.99","3.02","2.95","36.17M","1.36%"
"2023-1-20","2.94","2.88","2.96","2.87","33.42M","2.44%"
"2023-1-19","2.87","2.89","2.89","2.85","13.16M","0.35%"
"2023-1-18","2.86","2.88","2.88","2.85","14.56M","-0.35%"
"2023-1-17","2.87","2.85","2.89","2.85","17.87M","1.06%"
"2023-1-16","2.84","2.81","2.86","2.81","14.83M","0.71%"
"2023-1-13","2.82","2.80","2.83","2.80","11.08M","0.36%"
"2023-1-12","2.81","2.80","2.83","2.80","10.88M","0.00%"
"2023-1-11","2.81","2.86","2.86","2.80","16.56M","-1.75%"
"2023-1-10","2.86","2.89","2.90","2.85","18.77M","-1.38%"
"2023-1-9","2.90","2.87","2.95","2.85","33.53M","1.75%"
"2023-1-6","2.85","2.86","2.87","2.84","15.49M","-0.35%"
"2023-1-5","2.86","2.88","2.88","2.84","17.51M","-0.69%"
"2023-1-4","2.88","2.86","2.88","2.84","16.78M","0.70%"
"2023-1-3","2.86","2.80","2.88","2.77","31.87M","2.51%"
