日期,收盘,开盘,高,低,交易量,涨跌幅
2023-5-1,259.08,255,269.74,247.96,10.07M,1.26%
2023-4-1,255.86,256,262.97,237.77,245.49M,-0.06%
2023-3-1,256.02,260.75,268.13,233.03,300.56M,-1.83%
2023-2-1,260.8,287.98,306.13,257.57,231.35M,-8.75%
2023-1-1,285.8,256.41,288.8,250,223.74M,11.22%
2022-12-1,256.97,268,278.28,250.5,213.95M,-0.98%
2022-11-1,259.52,247.11,283.02,237.22,281.28M,5.21%
2022-10-1,246.67,252.27,279,235.81,231.40M,-2.12%
2022-9-1,252.01,285,294.6,249,284.54M,-12.49%
2022-8-1,287.98,317.98,334.85,284,371.24M,-10.11%
2022-7-1,320.36,332.18,351.95,296.77,437.06M,-3.94%
2022-6-1,333.49,298,358.86,293.12,570.49M,12.70%
2022-5-1,295.91,246.2,300.96,222.28,437.36M,21.77%
2022-4-1,243,226.79,250.9,218.81,305.55M,5.74%
2022-3-1,229.8,255,256.61,209.43,461.07M,-7.93%
2022-2-1,249.6,240.79,252.52,225,273.51M,10.05%
2022-1-1,226.8,276,279.45,219.76,372.21M,-15.41%
2021-12-1,268.12,305.2,314.06,263,359.12M,-12.01%
2021-11-1,304.7,301.41,329.97,288,430.16M,-2.12%
2021-10-1,311.31,257.98,333.33,248,406.26M,24.77%
2021-9-1,249.51,277,281.11,235,441.56M,-9.92%
2021-8-1,277,276,317.3,266.55,746.71M,4.64%
2021-7-1,264.71,251,272.91,214.3,927.66M,5.46%
2021-6-1,251,178.73,259.6,178.73,840.73M,40.46%
2021-5-1,178.7,157,185,140.97,621.00M,12.69%
2021-4-1,158.57,168,179.24,156.71,566.41M,-3.61%
2021-3-1,164.51,201,215.8,155.6,731.40M,-16.61%
2021-2-1,197.27,245,273.37,194,638.47M,-20.13%
2021-1-1,247,189,262.95,187.09,876.43M,27.12%
2020-12-1,194.3,168.7,195.83,162.8,887.73M,12.87%
2020-11-1,172.15,160.91,198.85,159.52,1200M,7.72%
2020-10-1,159.81,123.1,170.3,119.2,708.71M,37.48%
2020-9-1,116.24,86.99,119.32,84.85,793.93M,36.75%
2020-8-1,85,85.41,91,78.1,433.92M,-0.46%
2020-7-1,85.39,73.21,97.91,71.03,830.19M,18.93%
2020-6-1,71.8,57.75,73.06,57.44,395.26M,25.07%
2020-5-1,57.41,59.4,62.5,55.31,225.85M,-4.25%
2020-4-1,59.96,59.9,62.39,54.15,359.58M,-0.02%
2020-3-1,59.97,65.6,70.2,47.39,510.35M,-8.26%
2020-2-1,65.37,53.85,75.8,53.85,661.08M,9.26%
2020-1-1,59.83,47.69,61.88,46.61,428.51M,25.51%
2019-12-1,47.67,43.39,48.14,42.99,255.19M,9.86%
2019-11-1,43.39,42.8,45.95,42.3,136.98M,1.26%
2019-10-1,42.85,48.8,49.38,42.6,115.88M,-12.16%
2019-9-1,48.78,49.98,51.87,48.38,197.02M,-1.35%
2019-8-1,49.45,55.7,56.28,47.74,249.10M,-11.62%
2019-7-1,55.95,51.6,57.95,51.08,230.39M,10.31%
2019-6-1,50.72,48.71,51.91,47.7,151.77M,5.12%
2019-5-1,48.25,54.88,55.28,47,156.54M,-15.20%
2019-4-1,56.9,53.54,62.4,52.9,330.26M,6.38%
2019-3-1,53.49,54.88,57.97,51.05,361.69M,-1.87%
2019-2-1,54.51,46.75,58.67,46.51,232.51M,17.43%
2019-1-1,46.42,51.02,53.64,46.04,236.27M,-8.98%
